Date,Sales
02-08-2022,1029
03-08-2022,982
04-08-2022,962
05-08-2022,1260
06-08-2022,1066
07-08-2022,1110
08-08-2022,625
09-08-2022,1192
10-08-2022,1184
11-08-2022,1118
12-08-2022,684
13-08-2022,962
14-08-2022,957
15-08-2022,1430
16-08-2022,970
17-08-2022,1298
18-08-2022,781
19-08-2022,865
20-08-2022,1108
21-08-2022,1235
22-08-2022,1250
23-08-2022,1059
24-08-2022,1095
25-08-2022,1075
26-08-2022,940
27-08-2022,1057
28-08-2022,979
29-08-2022,1160
30-08-2022,768
31-08-2022,1198
01-09-2022,1052
02-09-2022,1145
03-09-2022,856
04-09-2022,1060
05-09-2022,1158
06-09-2022,878
07-09-2022,957
08-09-2022,617
09-09-2022,898
10-09-2022,1264
11-09-2022,1113
12-09-2022,931
13-09-2022,1074
14-09-2022,1161
15-09-2022,820
16-09-2022,889
17-09-2022,964
18-09-2022,1070
19-09-2022,1066
20-09-2022,896
21-09-2022,753
22-09-2022,1541
23-09-2022,1034
24-09-2022,892
25-09-2022,1066
26-09-2022,1062
27-09-2022,855
28-09-2022,984
29-09-2022,1271
30-09-2022,1207
01-10-2022,1136
02-10-2022,1198
03-10-2022,1015
04-10-2022,1078
05-10-2022,1052
06-10-2022,826
07-10-2022,1103
08-10-2022,678
09-10-2022,993
10-10-2022,860
11-10-2022,1250
12-10-2022,645
13-10-2022,926
14-10-2022,1026
15-10-2022,1010
16-10-2022,1194
17-10-2022,1012
18-10-2022,1128
19-10-2022,1278
20-10-2022,735
21-10-2022,558
22-10-2022,1059
23-10-2022,1016
24-10-2022,1053
25-10-2022,1157
26-10-2022,1350
27-10-2022,848
28-10-2022,764
29-10-2022,1179
30-10-2022,1042
31-10-2022,922
01-11-2022,560
02-11-2022,854
03-11-2022,963
04-11-2022,1265
05-11-2022,852
06-11-2022,542
07-11-2022,862
08-11-2022,751
09-11-2022,882
10-11-2022,889
11-11-2022,1283
12-11-2022,936
13-11-2022,698
14-11-2022,1018
15-11-2022,957
16-11-2022,1049
17-11-2022,1380
18-11-2022,847
19-11-2022,778
20-11-2022,1144
21-11-2022,1052
22-11-2022,1011
23-11-2022,888
24-11-2022,840
25-11-2022,1291
26-11-2022,1265
27-11-2022,705
28-11-2022,960
29-11-2022,1415
30-11-2022,899
01-12-2022,858
02-12-2022,751
03-12-2022,1094
04-12-2022,1179
05-12-2022,1097
06-12-2022,811
07-12-2022,1161
08-12-2022,1001
09-12-2022,1108
10-12-2022,1266
11-12-2022,811
12-12-2022,1260
13-12-2022,1163
14-12-2022,1025
15-12-2022,922
16-12-2022,779
17-12-2022,1170
18-12-2022,1137
19-12-2022,1388
20-12-2022,1037
21-12-2022,880
22-12-2022,1171
23-12-2022,1130
24-12-2022,1141
25-12-2022,985
26-12-2022,996
27-12-2022,1511
28-12-2022,943
29-12-2022,995
30-12-2022,1340
31-12-2022,800
01-01-2023,900
02-01-2023,771
03-01-2023,959
04-01-2023,951
05-01-2023,1080
06-01-2023,1168
07-01-2023,1226
08-01-2023,1032
09-01-2023,945
10-01-2023,892
11-01-2023,990
12-01-2023,1543
13-01-2023,1007
14-01-2023,914
15-01-2023,978
16-01-2023,1248
17-01-2023,319
18-01-2023,1134
19-01-2023,1153
20-01-2023,1022
21-01-2023,1074
22-01-2023,1145
23-01-2023,745
24-01-2023,763
25-01-2023,841
26-01-2023,834
27-01-2023,558
28-01-2023,903
29-01-2023,1060
30-01-2023,1164
31-01-2023,1002
01-02-2023,1149
02-02-2023,1045
03-02-2023,865
04-02-2023,1051
05-02-2023,1179
06-02-2023,1251
07-02-2023,1146
08-02-2023,903
09-02-2023,1015
10-02-2023,577
11-02-2023,857
12-02-2023,915
13-02-2023,938
14-02-2023,738
15-02-2023,1001
16-02-2023,1052
17-02-2023,1158
18-02-2023,955
19-02-2023,1001
20-02-2023,1166
21-02-2023,1249
22-02-2023,800
23-02-2023,840
24-02-2023,944
25-02-2023,719
26-02-2023,919
27-02-2023,757
28-02-2023,674
01-03-2023,884
02-03-2023,1025
03-03-2023,1163
04-03-2023,969
05-03-2023,838
06-03-2023,1258
07-03-2023,761
08-03-2023,1249
09-03-2023,1486
10-03-2023,1140
11-03-2023,854
12-03-2023,866
13-03-2023,977
14-03-2023,653
15-03-2023,1264
16-03-2023,1316
17-03-2023,923
18-03-2023,780
19-03-2023,882
20-03-2023,963
21-03-2023,765
22-03-2023,1269
23-03-2023,1142
24-03-2023,975
25-03-2023,1112
26-03-2023,1017
27-03-2023,1059
28-03-2023,978
29-03-2023,1053
30-03-2023,1284
31-03-2023,972
01-04-2023,741
02-04-2023,1017
03-04-2023,994
04-04-2023,752
05-04-2023,1217
06-04-2023,1399
07-04-2023,1010
08-04-2023,900
09-04-2023,905
10-04-2023,1224
11-04-2023,1296
12-04-2023,1041
13-04-2023,1192
14-04-2023,876
15-04-2023,1148
16-04-2023,885
17-04-2023,981
18-04-2023,1139
19-04-2023,1532
20-04-2023,893
21-04-2023,833
22-04-2023,1077
23-04-2023,1064
24-04-2023,948
25-04-2023,1331
26-04-2023,1144
27-04-2023,697
28-04-2023,1079
29-04-2023,1031
30-04-2023,716
01-05-2023,967
02-05-2023,1148
03-05-2023,888
04-05-2023,1240
05-05-2023,796
06-05-2023,1331
07-05-2023,990
08-05-2023,1309
09-05-2023,857
10-05-2023,1147
11-05-2023,898
12-05-2023,1219
13-05-2023,1146
14-05-2023,1107
15-05-2023,888
16-05-2023,480
17-05-2023,910
18-05-2023,1321
19-05-2023,1130
20-05-2023,1181
21-05-2023,1162
22-05-2023,757
23-05-2023,935
24-05-2023,821
25-05-2023,1232
26-05-2023,884
27-05-2023,753
28-05-2023,1183
29-05-2023,1086
30-05-2023,1144
31-05-2023,1156
01-06-2023,1085
02-06-2023,625
03-06-2023,864
04-06-2023,970
05-06-2023,1061
06-06-2023,977
07-06-2023,1055
08-06-2023,866
09-06-2023,1275
10-06-2023,908
11-06-2023,811
12-06-2023,889
13-06-2023,1047
14-06-2023,905
15-06-2023,811
16-06-2023,1020
17-06-2023,1315
18-06-2023,1132
19-06-2023,940
20-06-2023,1129
21-06-2023,1127
22-06-2023,921
23-06-2023,996
24-06-2023,614
25-06-2023,1146
26-06-2023,1076
27-06-2023,1149
28-06-2023,1272
29-06-2023,1131
30-06-2023,941
01-07-2023,1191
02-07-2023,767
03-07-2023,953
04-07-2023,1147
05-07-2023,1175
06-07-2023,999
07-07-2023,1065
08-07-2023,1282
09-07-2023,732
10-07-2023,1059
11-07-2023,1155
12-07-2023,949
13-07-2023,890
14-07-2023,801
15-07-2023,980
16-07-2023,907
17-07-2023,875
18-07-2023,873
19-07-2023,973
20-07-2023,926
21-07-2023,1031
22-07-2023,1294
23-07-2023,1037
24-07-2023,1260
25-07-2023,1112
26-07-2023,1246
27-07-2023,1233
28-07-2023,1139
29-07-2023,988
30-07-2023,900
31-07-2023,819
01-08-2023,1034
02-08-2023,1123
03-08-2023,846
04-08-2023,855
05-08-2023,1013
06-08-2023,859
07-08-2023,996
08-08-2023,1050
09-08-2023,1048
10-08-2023,875
11-08-2023,837
12-08-2023,886
13-08-2023,1469
14-08-2023,1017
15-08-2023,1013
16-08-2023,717
17-08-2023,1111
18-08-2023,1205
19-08-2023,1453
20-08-2023,1314
21-08-2023,991
22-08-2023,930
23-08-2023,891
24-08-2023,965
25-08-2023,921
26-08-2023,855
27-08-2023,1324
28-08-2023,817
29-08-2023,942
30-08-2023,1218
31-08-2023,1197
01-09-2023,1241
02-09-2023,734
03-09-2023,985
04-09-2023,794
05-09-2023,1022
06-09-2023,914
07-09-2023,862
08-09-2023,987
09-09-2023,1158
10-09-2023,837
11-09-2023,1146
12-09-2023,597
13-09-2023,1148
14-09-2023,935
15-09-2023,786
16-09-2023,726
17-09-2023,1120
18-09-2023,1085
19-09-2023,960
20-09-2023,1106
21-09-2023,763
22-09-2023,956
23-09-2023,1067
24-09-2023,1053
25-09-2023,1124
26-09-2023,1109
27-09-2023,1187
28-09-2023,1191
29-09-2023,1302
30-09-2023,1062
01-10-2023,1100
02-10-2023,737
03-10-2023,1276
04-10-2023,601
05-10-2023,1152
06-10-2023,830
07-10-2023,864
08-10-2023,953
09-10-2023,1471
10-10-2023,1032
11-10-2023,821
12-10-2023,780
13-10-2023,653
14-10-2023,1136
15-10-2023,1019
16-10-2023,766
17-10-2023,1194
18-10-2023,1021
19-10-2023,759
20-10-2023,1186
21-10-2023,949
22-10-2023,944
23-10-2023,985
24-10-2023,1210
25-10-2023,850
26-10-2023,1158
27-10-2023,1184
28-10-2023,888
29-10-2023,798
30-10-2023,827
31-10-2023,555
01-11-2023,840
02-11-2023,922
03-11-2023,773
04-11-2023,1117
05-11-2023,952
06-11-2023,1264
07-11-2023,1058
08-11-2023,1138
09-11-2023,1282
10-11-2023,1109
11-11-2023,750
12-11-2023,881
13-11-2023,1069
14-11-2023,999
15-11-2023,1236
16-11-2023,1166
17-11-2023,886
18-11-2023,852
19-11-2023,1357
20-11-2023,1283
21-11-2023,1007
22-11-2023,1072
23-11-2023,845
24-11-2023,1247
25-11-2023,1186
26-11-2023,837
27-11-2023,1193
28-11-2023,898
29-11-2023,929
30-11-2023,1445
01-12-2023,1073
02-12-2023,885
03-12-2023,958
04-12-2023,1040
05-12-2023,1077
06-12-2023,891
07-12-2023,1022
08-12-2023,712
09-12-2023,761
10-12-2023,858
11-12-2023,856
12-12-2023,685
13-12-2023,1039
14-12-2023,760
15-12-2023,1281
16-12-2023,1269
17-12-2023,904
18-12-2023,1477
19-12-2023,1155
20-12-2023,1007
21-12-2023,959
22-12-2023,873
23-12-2023,884
24-12-2023,1089
25-12-2023,898
26-12-2023,535
27-12-2023,738
28-12-2023,1360
29-12-2023,1144
30-12-2023,1309
31-12-2023,767
